threshold,f1,recall,precision
0.05,0.29735162237978485,1.0,0.17464065175652535
0.1,0.29743703049049935,1.0,0.17469957694204366
0.15,0.3143321325139507,0.991680285247363,0.18676552881925013
0.2,0.3305315079524864,0.9756351210815629,0.19896985305256779
0.25,0.3362854708358078,0.9674639726637944,0.20351271954497155
0.3,0.3405270693037807,0.9540930025256277,0.2072482008584245
0.35,0.34630865082428186,0.9331451493091666,0.2126053549064076
0.39999999999999997,0.35288535674040683,0.8839696924676869,0.22044385165425512
0.44999999999999996,0.36283833211411853,0.8105779230426385,0.2337317397078353
0.49999999999999994,0.36256566683612945,0.635715346902392,0.25360042671724053
0.5499999999999999,0.3326812496294979,0.4168771356410637,0.2767804300651016
0.6,0.23746545598105015,0.1787253008468281,0.35371949426639226
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.7999999999999999,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
